from_postcode,nlvo_ivt_added_utility,nlvo_ivt_mean_mrs,nlvo_ivt_mrs_less_equal_2,nlvo_ivt_mrs_shift,nlvo_ivt_added_mrs_less_equal_2,lvo_ivt_added_utility,lvo_ivt_mean_mrs,lvo_ivt_mrs_less_equal_2,lvo_ivt_mrs_shift,lvo_ivt_added_mrs_less_equal_2,lvo_ivt_mt_added_utility,lvo_ivt_mt_mean_mrs,lvo_ivt_mt_mrs_less_equal_2,lvo_ivt_mt_mrs_shift,lvo_ivt_mt_added_mrs_less_equal_2,lvo_mt_added_utility,lvo_mt_mean_mrs,lvo_mt_mrs_less_equal_2,lvo_mt_mrs_shift,lvo_mt_added_mrs_less_equal_2
N00002800,0.08176,1.83797,0.66807,-0.44203,0.08807,0.036,3.47012,0.30487,-0.16988,0.03987,0.04546,3.43313,0.31332,-0.20687,0.04832,0.04546,3.43313,0.31332,-0.20687,0.04832
N00002801,0.08289,1.83155,0.6693,-0.44845,0.0893,0.03669,3.46638,0.3056,-0.17362,0.0406,0.04691,3.4257,0.31479,-0.2143,0.04979,0.04691,3.4257,0.31479,-0.2143,0.04979
N00002802,0.08459,1.82195,0.67115,-0.45805,0.09115,0.03773,3.46075,0.3067,-0.17925,0.0417,0.04908,3.41454,0.31701,-0.22546,0.05201,0.04908,3.41454,0.31701,-0.22546,0.05201
N00002803,0.08176,1.83797,0.66807,-0.44203,0.08807,0.036,3.47012,0.30487,-0.16988,0.03987,0.04546,3.43313,0.31332,-0.20687,0.04832,0.04546,3.43313,0.31332,-0.20687,0.04832
N00002804,0.08233,1.83476,0.66869,-0.44524,0.08869,0.03634,3.46825,0.30523,-0.17175,0.04023,0.04618,3.42942,0.31405,-0.21058,0.04905,0.04618,3.42942,0.31405,-0.21058,0.04905
N00002805,0.08459,1.82195,0.67115,-0.45805,0.09115,0.03773,3.46075,0.3067,-0.17925,0.0417,0.04908,3.41454,0.31701,-0.22546,0.05201,0.04908,3.41454,0.31701,-0.22546,0.05201
N00002806,0.08658,1.81064,0.67333,-0.46936,0.09333,0.03897,3.45408,0.308,-0.18592,0.043,0.05165,3.40131,0.31965,-0.23869,0.05465,0.05165,3.40131,0.31965,-0.23869,0.05465
N00002807,0.08289,1.83155,0.6693,-0.44845,0.0893,0.03669,3.46638,0.3056,-0.17362,0.0406,0.04691,3.4257,0.31479,-0.2143,0.04979,0.04691,3.4257,0.31479,-0.2143,0.04979
N00002808,0.08658,1.81064,0.67333,-0.46936,0.09333,0.03897,3.45408,0.308,-0.18592,0.043,0.05165,3.40131,0.31965,-0.23869,0.05465,0.05165,3.40131,0.31965,-0.23869,0.05465
N00002809,0.08515,1.81875,0.67177,-0.46125,0.09177,0.03808,3.45887,0.30706,-0.18113,0.04206,0.0498,3.41081,0.31776,-0.22919,0.05276,0.0498,3.41081,0.31776,-0.22919,0.05276
