from_postcode,nlvo_ivt_added_utility,nlvo_ivt_mean_mrs,nlvo_ivt_mrs_less_equal_2,nlvo_ivt_mrs_shift,nlvo_ivt_added_mrs_less_equal_2,lvo_ivt_added_utility,lvo_ivt_mean_mrs,lvo_ivt_mrs_less_equal_2,lvo_ivt_mrs_shift,lvo_ivt_added_mrs_less_equal_2,lvo_ivt_mt_added_utility,lvo_ivt_mt_mean_mrs,lvo_ivt_mt_mrs_less_equal_2,lvo_ivt_mt_mrs_shift,lvo_ivt_mt_added_mrs_less_equal_2,lvo_mt_added_utility,lvo_mt_mean_mrs,lvo_mt_mrs_less_equal_2,lvo_mt_mrs_shift,lvo_mt_added_mrs_less_equal_2
N00000044,0.10988,1.67704,0.69884,-0.60296,0.11884,0.05399,3.37244,0.32381,-0.26756,0.05881,0.10681,3.11474,0.37719,-0.52526,0.11219,0.10681,3.11474,0.37719,-0.52526,0.11219
N00000045,0.1122,1.66361,0.70138,-0.61639,0.12138,0.05555,3.36392,0.32545,-0.27608,0.06045,0.11011,3.09737,0.38069,-0.54263,0.11569,0.11011,3.09737,0.38069,-0.54263,0.11569
N00000046,0.1134,1.65662,0.7027,-0.62338,0.1227,0.05636,3.35946,0.32631,-0.28054,0.06131,0.11183,3.08828,0.38252,-0.55172,0.11752,0.11183,3.08828,0.38252,-0.55172,0.11752
N00000047,0.11402,1.65303,0.70338,-0.62697,0.12338,0.05678,3.35717,0.32675,-0.28283,0.06175,0.11272,3.08361,0.38346,-0.55639,0.11846,0.11272,3.08361,0.38346,-0.55639,0.11846
N00000048,0.11402,1.65303,0.70338,-0.62697,0.12338,0.05678,3.35717,0.32675,-0.28283,0.06175,0.11272,3.08361,0.38346,-0.55639,0.11846,0.11272,3.08361,0.38346,-0.55639,0.11846
N00000049,0.11402,1.65303,0.70338,-0.62697,0.12338,0.05678,3.35717,0.32675,-0.28283,0.06175,0.11272,3.08361,0.38346,-0.55639,0.11846,0.11272,3.08361,0.38346,-0.55639,0.11846
N00000050,0.11465,1.64938,0.70407,-0.63062,0.12407,0.05721,3.35482,0.3272,-0.28518,0.0622,0.11362,3.07884,0.38442,-0.56116,0.11942,0.11362,3.07884,0.38442,-0.56116,0.11942
N00000051,0.11663,1.63785,0.70625,-0.64215,0.12625,0.05856,3.3474,0.32863,-0.2926,0.06363,0.11649,3.06373,0.38747,-0.57627,0.12247,0.11649,3.06373,0.38747,-0.57627,0.12247
N00000052,0.11663,1.63785,0.70625,-0.64215,0.12625,0.05856,3.3474,0.32863,-0.2926,0.06363,0.11649,3.06373,0.38747,-0.57627,0.12247,0.11649,3.06373,0.38747,-0.57627,0.12247
N00000053,0.11663,1.63785,0.70625,-0.64215,0.12625,0.05856,3.3474,0.32863,-0.2926,0.06363,0.11649,3.06373,0.38747,-0.57627,0.12247,0.11649,3.06373,0.38747,-0.57627,0.12247
N00000054,0.11529,1.64564,0.70478,-0.63436,0.12478,0.05765,3.35242,0.32766,-0.28758,0.06266,0.11455,3.07396,0.38541,-0.56604,0.12041,0.11455,3.07396,0.38541,-0.56604,0.12041
N00000055,0.11529,1.64564,0.70478,-0.63436,0.12478,0.05765,3.35242,0.32766,-0.28758,0.06266,0.11455,3.07396,0.38541,-0.56604,0.12041,0.11455,3.07396,0.38541,-0.56604,0.12041
N00000056,0.11529,1.64564,0.70478,-0.63436,0.12478,0.05765,3.35242,0.32766,-0.28758,0.06266,0.11455,3.07396,0.38541,-0.56604,0.12041,0.11455,3.07396,0.38541,-0.56604,0.12041
N00000057,0.11663,1.63785,0.70625,-0.64215,0.12625,0.05856,3.3474,0.32863,-0.2926,0.06363,0.11649,3.06373,0.38747,-0.57627,0.12247,0.11649,3.06373,0.38747,-0.57627,0.12247
N00000058,0.11663,1.63785,0.70625,-0.64215,0.12625,0.05856,3.3474,0.32863,-0.2926,0.06363,0.11649,3.06373,0.38747,-0.57627,0.12247,0.11649,3.06373,0.38747,-0.57627,0.12247
N00000059,0.11595,1.64181,0.7055,-0.63819,0.1255,0.0581,3.34995,0.32814,-0.29005,0.06314,0.1155,3.06893,0.38642,-0.57107,0.12142,0.1155,3.06893,0.38642,-0.57107,0.12142
N00000060,0.11595,1.64181,0.7055,-0.63819,0.1255,0.0581,3.34995,0.32814,-0.29005,0.06314,0.1155,3.06893,0.38642,-0.57107,0.12142,0.1155,3.06893,0.38642,-0.57107,0.12142
N00000061,0.11663,1.63785,0.70625,-0.64215,0.12625,0.05856,3.3474,0.32863,-0.2926,0.06363,0.11649,3.06373,0.38747,-0.57627,0.12247,0.11649,3.06373,0.38747,-0.57627,0.12247
N00000062,0.11529,1.64564,0.70478,-0.63436,0.12478,0.05765,3.35242,0.32766,-0.28758,0.06266,0.11455,3.07396,0.38541,-0.56604,0.12041,0.11455,3.07396,0.38541,-0.56604,0.12041
N00000063,0.11663,1.63785,0.70625,-0.64215,0.12625,0.05856,3.3474,0.32863,-0.2926,0.06363,0.11649,3.06373,0.38747,-0.57627,0.12247,0.11649,3.06373,0.38747,-0.57627,0.12247
N00000064,0.11663,1.63785,0.70625,-0.64215,0.12625,0.05856,3.3474,0.32863,-0.2926,0.06363,0.11649,3.06373,0.38747,-0.57627,0.12247,0.11649,3.06373,0.38747,-0.57627,0.12247
N00000065,0.11595,1.64181,0.7055,-0.63819,0.1255,0.0581,3.34995,0.32814,-0.29005,0.06314,0.1155,3.06893,0.38642,-0.57107,0.12142,0.1155,3.06893,0.38642,-0.57107,0.12142
N00000066,0.11595,1.64181,0.7055,-0.63819,0.1255,0.0581,3.34995,0.32814,-0.29005,0.06314,0.1155,3.06893,0.38642,-0.57107,0.12142,0.1155,3.06893,0.38642,-0.57107,0.12142
N00000067,0.11595,1.64181,0.7055,-0.63819,0.1255,0.0581,3.34995,0.32814,-0.29005,0.06314,0.1155,3.06893,0.38642,-0.57107,0.12142,0.1155,3.06893,0.38642,-0.57107,0.12142
N00000068,0.11529,1.64564,0.70478,-0.63436,0.12478,0.05765,3.35242,0.32766,-0.28758,0.06266,0.11455,3.07396,0.38541,-0.56604,0.12041,0.11455,3.07396,0.38541,-0.56604,0.12041
N00000069,0.11595,1.64181,0.7055,-0.63819,0.1255,0.0581,3.34995,0.32814,-0.29005,0.06314,0.1155,3.06893,0.38642,-0.57107,0.12142,0.1155,3.06893,0.38642,-0.57107,0.12142
